[2026-07-29 10:48:27,228: INFO: main: welcome to our custom log]
[2026-07-29 10:51:50,060: INFO: main: welcome to our custom log]
[2026-08-01 14:54:27,730: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-01 14:54:27,733: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-01 14:54:27,735: INFO: common: created directory at: artifacts]
[2026-08-01 14:56:13,795: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-01 14:56:13,798: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-01 14:56:13,799: INFO: common: created directory at: artifacts]
[2026-08-01 14:56:13,801: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-01 14:56:13,802: INFO: 3895269612: Downloading data from https://drive.google.com/file/d/1Coa1hm3Dw3WUO1epFj4ztNWKfmflJ29n/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-01 15:01:18,579: INFO: 3895269612: Downloaded data from https://drive.google.com/file/d/1Coa1hm3Dw3WUO1epFj4ztNWKfmflJ29n/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-01 17:08:05,407: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-08-01 17:08:05,420: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-01 17:08:05,421: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-01 17:08:05,422: INFO: common: created directory at: artifacts]
[2026-08-01 17:08:05,423: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-01 17:08:05,424: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Coa1hm3Dw3WUO1epFj4ztNWKfmflJ29n/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-01 17:12:36,283: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Coa1hm3Dw3WUO1epFj4ztNWKfmflJ29n/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-01 17:13:01,940: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
